HIP,R'HK,logR'HK
HIP 544,4.1304750199e-05,-4.38400000000017
HIP 910,1.09144033644e-05,-4.962000000003484
HIP 950,1.92752491319e-05,-4.715000000000211
HIP 1599,1.44877185354e-05,-4.839000000001428
HIP 2021,1.00925288607e-05,-4.996000000002876
HIP 3093,1.0209394837e-05,-4.991000000003267
HIP 3583,2.81838293126e-05,-4.550000000000686
HIP 3765,1.40604752412e-05,-4.852000000003062
HIP 3821,1.12460497396e-05,-4.949000000002675
HIP 3909,1.36458313658e-05,-4.865000000002841
HIP 4151,3.99944749761e-05,-4.398000000000106
HIP 5862,1.1220184543e-05,-4.95000000000076
HIP 5896,5.34564359396e-05,-4.272000000000789
HIP 7513,1.04712854805e-05,-4.9800000000003735
HIP 7751,1.76603782068e-05,-4.753000000001516
HIP 7978,2.11348903983e-05,-4.675000000001366
HIP 7981,1.22461619926e-05,-4.9120000000017905
HIP 8102,1.10153930954e-05,-4.958000000000558
HIP 8362,2.08449088309e-05,-4.681000000001519
HIP 10798,1.41253754462e-05,-4.850000000000847
HIP 12653,2.60015956316e-05,-4.58500000000088
HIP 12777,1.07151930523e-05,-4.970000000003083
HIP 12843,3.45939377826e-05,-4.461000000000153
HIP 13402,4.88652359342e-05,-4.311000000000741
HIP 14632,9.3756200692e-06,-5.028000000002724
HIP 14879,1.46892627764e-05,-4.833000000001143
HIP 15330,2.25943577022e-05,-4.646000000000188
HIP 15371,1.63305194789e-05,-4.787000000001153
HIP 15457,3.8018939632e-05,-4.420000000000641
HIP 15510,1.00461579027e-05,-4.998000000003629
HIP 16245,9.1833259648e-06,-5.037000000001694
HIP 16537,3.50751873952e-05,-4.4550000000007035
HIP 16852,7.5857757502e-06,-5.120000000005258
HIP 17378,6.5463617406e-06,-5.1840000000048265
HIP 17651,1.39636836105e-05,-4.855000000001847
HIP 18859,4.07380277804e-05,-4.3900000000001205
HIP 19335,3.97191549469e-05,-4.401000000000481
HIP 19849,1.34276496113e-05,-4.872000000002544
HIP 22263,3.08318795024e-05,-4.511000000001317
HIP 22449,2.23872113856e-05,-4.650000000001618
HIP 23311,1.12719745617e-05,-4.948000000002123
HIP 23693,3.74973002245e-05,-4.42600000000056
HIP 23835,7.8849691774e-06,-5.103200000002961
HIP 24813,8.2224264994e-06,-5.085000000003735
HIP 25110,1.04954242865e-05,-4.979000000000961
HIP 25278,4.18793565117e-05,-4.378000000000952
HIP 26394,1.25892541179e-05,-4.900000000001437
HIP 26779,3.51560440528e-05,-4.454000000000368
HIP 27072,1.68267406107e-05,-4.774000000000121
HIP 27435,1.28824955169e-05,-4.890000000001057
HIP 29271,1.14815362149e-05,-4.940000000002604
HIP 29650,1.58854674859e-05,-4.799000000002127
HIP 29800,2.63026799189e-05,-4.580000000000888
HIP 32439,1.17489755493e-05,-4.930000000003522
HIP 32480,1.17489755493e-05,-4.930000000003522
HIP 32984,2.79254384123e-05,-4.554000000001142
HIP 33277,1.09647819614e-05,-4.960000000001261
HIP 34065,1.17489755493e-05,-4.930000000003522
HIP 35136,1.1220184543e-05,-4.95000000000076
HIP 36439,1.32129563418e-05,-4.879000000002161
HIP 38423,4.33510878387e-05,-4.36300000000053
HIP 38908,1.62181009735e-05,-4.790000000002391
HIP 40693,1.03038612044e-05,-4.987000000000681
HIP 40843,1.49623565609e-05,-4.825000000001287
HIP 41926,1.13240036323e-05,-4.946000000002131
HIP 42438,4.21696503428e-05,-4.3750000000005995
HIP 42808,4.45656248397e-05,-4.35100000000049
HIP 43587,1.0209394837e-05,-4.991000000003267
HIP 43726,2.19280493535e-05,-4.659000000000089
HIP 44897,2.46603933723e-05,-4.608000000000764
HIP 45038,1.25602996369e-05,-4.901000000001686
HIP 47080,2.3014418174e-05,-4.638000000001606
HIP 47592,9.484184633e-06,-5.023000000000411
HIP 48113,8.2224264994e-06,-5.085000000003735
HIP 49081,7.413102413e-06,-5.130000000000537
HIP 49908,2.41546083444e-05,-4.617000000000888
HIP 50564,1.78237876744e-05,-4.749000000001971
HIP 50954,2.06538015581e-05,-4.6850000000001115
HIP 51459,1.67880401812e-05,-4.775000000000662
HIP 51502,2.81838293126e-05,-4.550000000000686
HIP 51523,1.07151930523e-05,-4.970000000003083
HIP 53721,8.7096358995e-06,-5.060000000003032
HIP 54035,3.5399734108e-06,-5.451000000004214
HIP 56452,1.22179966016e-05,-4.913000000001731
HIP 56997,2.84446110744e-05,-4.546000000001208
HIP 57443,1.17219536554e-05,-4.931000000003013
HIP 57757,1.31825673855e-05,-4.880000000002111
HIP 57939,1.2705741052e-05,-4.896000000002919
HIP 59199,6.10942024905e-05,-4.214000000000406
HIP 61174,4.86407205691e-05,-4.313000000000412
HIP 61317,1.07151930523e-05,-4.970000000003083
HIP 62207,1.06659612123e-05,-4.972000000000105
HIP 64394,1.79887091512e-05,-4.745000000002122
HIP 64408,8.5506671288e-06,-5.068000000002379
HIP 64583,2.16271852372e-05,-4.66500000000141
HIP 64797,3.31131121482e-05,-4.480000000000775
HIP 64924,9.9770006382e-06,-5.0010000000011114
HIP 68184,1.02565192625e-05,-4.989000000000596
HIP 69965,1.47910838816e-05,-4.83000000000241
HIP 70497,4.35511873685e-05,-4.361000000000567
HIP 71284,3.1117163371e-05,-4.50700000000084
HIP 71681,1.09622575177e-05,-4.960100000001232
HIP 71683,8.2375867276e-06,-5.084200000000989
HIP 72659,3.76703798983e-05,-4.4240000000010475
HIP 72659,4.33510878387e-05,-4.36300000000053
HIP 73184,3.28095293113e-05,-4.484000000000157
HIP 73996,2.917427014e-05,-4.535000000000173
HIP 75181,1.16949939101e-05,-4.932000000003666
HIP 77052,1.8197008586e-05,-4.740000000002382
HIP 77257,9.9083194489e-06,-5.004000000001213
HIP 77358,1.64816239152e-05,-4.783000000001452
HIP 77760,9.0782053017e-06,-5.042000000003916
HIP 78072,1.51356124843e-05,-4.820000000001781
HIP 78459,9.1411324147e-06,-5.039000000000119
HIP 79672,1.17489755493e-05,-4.930000000003522
HIP 80337,3.54813389233e-05,-4.4500000000007045
HIP 81300,2.61216135439e-05,-4.5830000000015305
HIP 84405,2.69153480392e-05,-4.570000000001116
HIP 84405,2.76057785622e-05,-4.559000000000054
HIP 84478,2.17770977235e-05,-4.66200000000063
HIP 84720,1.14551294144e-05,-4.941000000002099
HIP 84862,1.01624869287e-05,-4.993000000000297
HIP 85235,1.09900583943e-05,-4.959000000000996
HIP 86486,2.16271852372e-05,-4.66500000000141
HIP 86736,2.00447202736e-05,-4.698000000001119
HIP 86796,9.1201083935e-06,-5.040000000002814
HIP 88601,2.83139199579e-05,-4.548000000001439
HIP 88601,1.94984459975e-05,-4.710000000001792
HIP 88694,3.92644935399e-05,-4.406000000000663
HIP 88972,1.10917481526e-05,-4.95500000000094
HIP 89042,1.39958732257e-05,-4.854000000000813
HIP 89348,2.8510182675e-05,-4.545000000000596
HIP 95447,7.9615935041e-06,-5.099000000003993
HIP 96100,1.47231250243e-05,-4.832000000000802
HIP 97295,1.1967405313e-05,-4.922000000002629
HIP 97675,7.9432823472e-06,-5.100000000002341
HIP 98767,7.9067862799e-06,-5.102000000005397
HIP 98959,1.3803842646e-05,-4.860000000000908
